Graph,Shortcuts,AvgQueryTime,ConstructionTime,MaxSettledNodesImportance,MaxSettledNodesContraction
flevoland,71555,0.057,174,10,10
zeeland,121803,0.085,389,10,10
guadeloupe,95961,0.043,253,10,10
corse,51537,0.05,213,10,10
flevoland,71702,0.049,270,20,10
zeeland,127385,0.048,420,20,10
guadeloupe,102612,0.043,348,20,10
corse,52344,0.052,221,20,10
flevoland,73930,0.05,386,50,10
zeeland,131279,0.048,696,50,10
guadeloupe,111413,0.044,626,50,10
corse,53055,0.047,389,50,10
flevoland,75784,0.048,651,100,10
zeeland,136012,0.067,1124,100,10
guadeloupe,116324,0.044,1014,100,10
corse,53720,0.045,614,100,10
flevoland,79205,0.045,1075,200,10
zeeland,142017,0.048,1865,200,10
guadeloupe,127821,0.039,1740,200,10
corse,54652,0.045,1021,200,10
flevoland,80569,0.047,1947,500,10
zeeland,145160,0.047,3814,500,10
guadeloupe,134224,0.045,3729,500,10
corse,55886,0.044,2120,500,10
flevoland,81979,0.047,3449,1000,10
zeeland,154596,0.051,7233,1000,10
guadeloupe,138883,0.046,6862,1000,10
corse,55880,0.05,3811,1000,10
flevoland,64702,0.046,191,10,20
zeeland,110152,0.048,328,10,20
guadeloupe,82016,0.045,262,10,20
corse,48522,0.044,161,10,20
flevoland,60096,0.049,240,10,50
zeeland,97883,0.048,396,10,50
guadeloupe,68878,0.043,296,10,50
corse,46126,0.049,202,10,50
flevoland,57750,0.05,278,10,100
zeeland,94857,0.049,518,10,100
guadeloupe,65379,0.042,395,10,100
corse,44792,0.051,232,10,100
flevoland,56569,0.049,373,10,200
zeeland,91570,0.048,729,10,200
guadeloupe,61235,0.042,499,10,200
corse,43913,0.045,308,10,200
flevoland,55472,0.046,579,10,500
zeeland,90196,0.049,1235,10,500
guadeloupe,60003,0.042,856,10,500
corse,43626,0.045,476,10,500
flevoland,54939,0.047,881,10,1000
zeeland,87696,0.047,1999,10,1000
guadeloupe,58379,0.043,1311,10,1000
corse,43132,0.044,737,10,1000
flevoland,65242,0.046,239,20,20
zeeland,110366,0.05,422,20,20
guadeloupe,84414,0.041,333,20,20
corse,48571,0.047,231,20,20
flevoland,59698,0.049,403,50,50
zeeland,100150,0.05,729,50,50
guadeloupe,76321,0.043,628,50,50
corse,46591,0.049,403,50,50
flevoland,58141,0.049,636,100,100
zeeland,97317,0.049,1185,100,100
guadeloupe,69599,0.041,939,100,100
corse,45300,0.046,658,100,100
flevoland,56399,0.048,1063,200,200
zeeland,93941,0.049,2021,200,200
guadeloupe,67594,0.042,1537,200,200
corse,44398,0.045,1116,200,200
flevoland,54553,0.045,1985,500,500
zeeland,91389,0.048,4064,500,500
guadeloupe,65642,0.043,3149,500,500
corse,44557,0.044,2318,500,500
flevoland,54589,0.045,3424,1000,1000
zeeland,91818,0.049,7432,1000,1000
guadeloupe,63438,0.044,5206,1000,1000
corse,44389,0.044,4023,1000,1000
